as_of,mpp_name,riding,income,assets,liabilities,gifts,offices
"September 01, 2008",JULIA MUNRO,York-Simcoe,"Salary - Legislative Assembly of Ontario
Sales and boarding income - Coquetel Kennels
Pension - Ontario Teachers Pension Plan","Sornum Inc. (Consulting/Management) - 50% interest
Coquetel Kennels - 100% interest
Shares: Citadel smart Fund T/U, RioCan R/Estate T/U, Pro-Ams US TR T/U, Aberdeen Scots Trust T/U, Brompton Equal WT O&G T/U, Citadel Prem Incm Fd T/U, Faircourt Inc&GW Split T/U, Sherritt Intl Corp, Bk of Mtl N/C PFD-B, Brookfield Pty-AAA PF, CIBC CL-A N/CM PFD, Laurention BK CDA-A S10 PF, Power CP PF-C, Ryl BK CDA PF, Armtec Infrast Inc FD T/U , Bank of Montreal, Brascan Soundvest DVF T/U, Chartwell SN Housing Reit, H & R Real Estate Invs T/U, Mcan Mortgage Corp, Skylon Clb Cap2012 T/Y II, Gabelli Equity Trust Inc, PPL Corp, Eldorada Gold, Skylon Int Adv Yld-B T/U, Sentry Seldvsfd Incm T/U
RRSP - Shares: Citadel Prem Incm Fd T/U, Inter Pipelinefund-A LPU",Nil,Nil,Sornum Inc. - Director
"September 01, 2008",KATHLEEN WYNNE,Don Valley West,Salary - Legislative Assembly of Ontario,Nil,Mortgage - Alterna Savings,Nil,Nil
"September 01, 2008",KEVIN FLYNN,Oakville,Salary - Legislative Assembly of Ontario,Qwest Energy 2007 II Flow Thru Limited Partnerships,Line of Credit - TD Canada Trust,Nil,Nil
"September 01, 2008",KHALIL RAMAL,London—Fanshawe,Salary - Legislative Assembly of Ontario,Nil,Mortgage - TD Canada Trust,Nil,Nil
"September 01, 2008",KIM CRAITOR,Niagara Falls,"Salary - Legislative Assembly of Ontario
Pension - Federal Government - Superannuation Fund",RRSP - Shares - Cataract Savings & Credit Union,Nil,Nil,Niagara Falls Labour Charitable Foundation - President and Director
"September 01, 2008",KULDIP KULAR,Bramalea-Gore-Malton,"Salary - Legislative Assembly of Ontario
Fees for service - Ontario Hospital Insurance Plan and insurance companies","Shares - Bell Canada, Hartcourt Companies Inc.
RRSP - Trust Units - GMP Capitaltrust","Mortgage - Royal Bank of Canada
Loan - Royal Bank of Canada
Line of Credit - Royal Bank of Canada",Nil,Nil
"September 01, 2008",LAURA ALBANESE,York South—Weston,Salary - Legislative Assembly,"Shares - Bank of America, Linear Gold, Sunlife, Talisman Energy, Laurentian Bank, Power Core
RRSP - Qwest Energy Flow Through Shares
Winchester Real Estate Investment Trust",Mortgage - Scotiabank,Nil,Nil
"September 01, 2008",LAUREL BROTEN,Etobicoke—Lakeshore,Salary - Legislative Assembly of Ontario,"67 Lake Promenade, Toronto - 50% interest
Shore Road Capital Partners (Holding Company) - 25% interest
RRSP - Shares: iShares Cdn Dow Jones, iShares Cdn S&P/TSX Capped, iShares Cdn S&P/TSX 60, iShares Trust Russell 2000 Index FD, iShares Trust S&P 500 Index Fund","Mortgages - Royal Bank of Canada
Line of Credit - Royal Bank of Canada",Ms. Broten received a ticket for a luncheon with guest speaker The Honourable Tony Blair from TD Bank,Nil
"September 01, 2008",LAURIE SCOTT,Haliburton—Kawartha Lakes—Brock,Salary - Legislative Assembly of Ontario,"Shares - Sentry Select Prim MTLS class A
Trust Units - Sentry Select China FD",Nil,Nil,"Director - Kinmount Fair
Director - Albany Club"
"September 01, 2008",LEEANNA PENDERGAST,Kitchener-Conestoga,Salary - Legislative Assembly of Ontario,Nil,Nil,Nil,Nil
"September 01, 2008",LEONA DOMBROWSKY,Prince Edward—Hastings,Salary - Legislative Assembly of Ontario,Nil,Nil,Nil,Nil
"September 01, 2008",LINDA JEFFREY,Brampton-Springdale,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - First Line Mortgages, Toronto
Lines of Credit - TD Canada Trust and Royal Bank
Loan - Laurentian Bank",Nil,Nil
"September 01, 2008",LISA ANNE MACLEOD,Nepean—Carleton,Salary - Legislative Assembly of Ontario,Nil,"Mortgages - Toronto-Dominion Bank, HSBC
Line of credit - RBC",Nil,Nil
"September 01, 2008",LORENZO BERARDINETTI,Scarborough Southwest,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - Scotiabank, Toronto
Line of Credit - TD Canada Trust, Toronto
Loan - TD Canada Trust, Toronto",Nil,Nil
"September 01, 2008",LUIGINO RINALDI,Northumberland-Quinte West,Salary- Legislative Assembly of Ontario,"Brighton Speedway Park - 50% interest
813 County Road 64, Brighton","Mortgage - First Line, Toronto; BDC, Kingston; Northumberland Business Assistance Corp, Cobourg",Mr. Rinaldi received 2 tickets for the Hill Hospital Foundation Gala Ball Fundraiser from RBC Financial Mr. Rinaldi received a chair from Larry and Tricia Aziz as a thank you for participation in silent auction,Nil
"September 01, 2008",M. AILEEN CARROLL,Barrie,"Salary- Legislative Assembly of Ontario
Income from Investments","Management Trust dated December 10, 2007",Nil,Mrs. Carroll received the following: a ticket for a luncheon with guest speaker The Honourable Tony Blair from TD Bank 2 tickets from the Royal Conservatory of Music to a dinner reception in honour of Nelly Furtado at which Minister Carroll spoke,Nil
"September 01, 2008",MADELEINE MEILLEUR,Ottawa—Vanier,"Salary - Legislative Assembly of Ontario
Rental Income","Trust Agreement dated December 22, 2003
Condo - MacKay St., Ottawa","Mortgage - CIBC, Ottawa",Ms. Meilleur received the following: as Minister of Francophone Affairs; two tickets to Corteo; Cirque du Soleil from Le Droit Cyberpresse; a ticket to a dinner reception in honour of Nelly Furtado from the Chair of the Royal Conservatory of Music,Nil
"September 01, 2008",MARGARETT BEST,Scarborough-Guildwood,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - TD Canada Trust, Toronto
Loan, TD Canada Trust",Ms. Best received the following: Use of Skybox at Rogers Centre from the Compass Group Canada to provide youths from high-risk communities and low-income families the opportunity to attend a baseball game.,Nil
"September 01, 2008",MARIA VAN BOMMEL,Lambton—Kent—Middlesex,Salary - Legislative Assembly of Ontario,"Artesian Springs Poultry Farm - 50% interest
Boiler Quota
Shares: Sun Life Financial Inc","Mortgage - Private Mortgage
Loans - Libro Credit Union, Edward Jones",Nil,Nil
"September 01, 2008",MARIO SERGIO,York West,"Salary - Legislative Assembly of Ontario
Pension - OMERS
Rental Income - Tenants","First General Realty Ltd. (Inactive) - 100% interest
Marvel-Tech Home Building Co. (Inactive) - 100% interest
Alpha One Energy Solution (Energy Saver - Inactive) - 10% interest
Condominiums (50% interest)
2662 Bloor Street West, Toronto
10 Dayspring Circle, Brampton",Line of Credit - Scotiabank,Nil,Nil
"September 01, 2008",MICHAEL A. BROWN,Algoma - Manitoulin,"Salary - Legislative Assembly of Ontario
Rental Income","Shares: Tim Hortons Inc., Manulife Financial Corp.",Nil,Nil,Nil
"September 01, 2008",MICHAEL BRYANT,St. Paul's,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - Bank of Montreal, Toronto",Nil,Nil
"September 01, 2008",MICHAEL CHAN,Markham-Unionville,Salary - Legislative Assembly of Ontario,"Management Trust dated April 20, 2007
12 Sylvia Court, Markham (vacant lot) - 100% interest
RRSP/Equities
Shares: Advanced Micro Devices Inc., Bioniche Life Sciences Inc., Nortel Networks, Petaquilla Minerals Ltd., Petaquilla Copper Ltd., Petro Canada (Pursuant to s. 13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Chan is not required to place these equities in trust on the condition that he does not buy, sell or trade same.)",Line of Credit - CIBC,Nil,Chan Associates (Social Club) - Vice Chair
"September 01, 2008",MICHAEL D. PRUE,Beaches—East York,Salary - Legislative Assembly of Ontario,Nil,Nil,Nil,Nil
"September 01, 2008",MICHAEL GRAVELLE,Thunder Bay—Superior North,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - CIBC, Thunder Bay
Loans - CIBC, Citi Financial",Nil,Nil
"September 01, 2008",MIKE COLLE,Eglinton—Lawrence,"Salary - Legislative Assembly of Ontario
Pension - Ontario Teachers' Pension Plan",Nil,"Mortgage - CIBC, Toronto",Nil,Nil
"September 01, 2008",MONIQUE SMITH,Nipissing,Salary - Legislative Assembly of Ontario,"Management Trust dated June 20, 2008","Mortgage - Royal Bank of Canada, North Bay",Ms. Smith received a vase from Canadore College as a thank you for speaking at their summer graduation ceremony,Nil
"September 01, 2008",MONTE KWINTER,York Centre,"Salary - Legislative Assembly of Ontario
Director's fees - Alpha Laboratories Inc.","Shares: Venga Aerospace Systems Inc.
LIF - Shares: Indexplus Income Fund Trust Units, AGF Management Ltd-CL B, Activenergy Income Fund Trust Units, CI Financial Income Fund Units, Onex Corporation, Penn West Energy Trust Units, Toronto Dominion Bank","Mortgage - Meridian Credit Union, Scarborough",Nil,"Canadian Society for Yad Vashem - Honourary Director
Grand Prix of Toronto - Honourary Trustee
Canadian Israel Chamber of Commerce - Director
Alpha Laboratories Inc. Advisory Board - Chair
Ontario College of Art and Design Presidential Advisory Council - Member"
"September 01, 2008",MUHAMMAD SHAFIQ QAADRI,Etobicoke—North,"Salary - Legislative Assembly of Ontario
Professional Fees - Ontario Hospital Insurance Plan, Ministry of Health
Fees for Service - FAS Benefits Administrators Ltd.
Honoraria for medical media print, radio, TV and lectures
Rental Income
IMEDFO - Dividend","RRSP - Shares: Nokia Corporation, Pfizer Inc.
2729 Bayview Avenue, Toronto - 50% interest
IMEDFO - 15% interest",Nil,Nil,Nil
"September 01, 2008",NORMAN MILLER,Parry Sound—Muskoka,Salary - Legislative Assembly of Ontario,"Mortgage - Patterson-Kaye Limited
RRSP - Shares - Algoma Central Corp.",Loan - Scotiabank,Nil,Frank Miller Ltd. - Secretary Treasurer and Director
"September 01, 2008",NORMAN W. STERLING,Carleton-Mississippi Mills,Salary - Legislative Assembly of Ontario,"WOW Energy Canada Inc. (Energy Conservation) - 10% interest (inactive)
Shares: BCE Inc., Cdn Utilities, Emera Incorporated, Telus Corp, Telus Corp-NV, Transalta Corp",Nil,Nil,WOW Energy Canada Inc. - Secretary
"September 01, 2008",PAT HOY,Chatham—Kent—Essex,"Salary - Legislative Assembly of Ontario
Farm Income","S 1/2 Lot 7, Tilbury East, Middle Road South, Merlin
S 1/2 Lot 6, Tilbury East, Middle Road North, Merlin - 50% interest
NE 1/4 Lot 7, Tilbury East, Middle Road South, Merlin
N Part Lot 2 & 3, Tilbury East, Middle Road North, Merlin - 50% interest
S 1/4 Lot 1 Conc 11Tilbury East, Middle Road North, Merlin - 50% interest","Mortgages - Farm Credit Corporation, Chatham; John Hoy, Chatham
Line of Credit - Bank of Montreal, Merlin
Loan, Farm Credit Corporation",Nil,Nil
"September 01, 2008",PAUL MILLER,Hamilton East-Stoney Creek,"•Salary - Legislative Assembly of Ontario
•Pension - US Steel (Canada) formerly Stelco",Nil,Line of credit - Scotia Bank,Nil,Nil
"September 01, 2008",PETER FONSECA,Mississauga East-Cooksville,"Salary - Legislative Assembly of Ontario
Rental Income","22 Tullis Drive, Toronto - 50% interest
75 Oriole Parkway, Toronto - 50% interest
Unit - 1 Elm Drive West, Mississauga - 50% interest","Mortgages: Bank of Montreal, Laurentian Bank",Nil,Nil
"September 01, 2008",PETER KORMOS,Welland,"Salary - Legislative Assembly of Ontario
Rental Income","Unit, 185 Denistoun, Welland
83 Dover Road, Welland
Shares - Canadian Imperial Bank of Commerce, Great West Life, National Bank","Mortgages
Bank of Nova Scotia, St. Catharines
Penn Credit Union, Welland",Nil,Nil
"September 01, 2008",PETER SHURMAN,Thornhill,Interest and Dividend income,"Shares: Barrick Gld Corp, Agnico Eagle Mins Ltd, CIBC, Goldcorp Inc, Gerdau Ameristeel Corp, Imperial Oil Ltd, Kinross Gld Corp, Man Telecom Svcs Inc, Oilexco Inc, Ryl Bk CDA, Sherritt Intl Corp, Teck Cominco Ltd CL B, Ishares Cdn S&P/TSX Cap Engy, Ishares S&P/TSX Cap Fncl Idx, Yamana Gld Inc",Line of Credit - Bank of Montreal,Nil,Director: The Access Channel
"September 01, 2008",PETER TABUNS,Toronto-Danforth,Salary - Legislative Assembly of Ontario,Nil,Guarantee - Allerna Credit Union for Peter Tabuns Leadership Campaign,Nil,Nil
"September 01, 2008",PHILIP MCNEELY,Ottawa-Orleans,Salary - Legislative Assembly of Ontario,Nil,"Loan - T.D. Bank, Orleans
Guarantee - Bruce Fink and Anne Perrault - T.D. Bank",Nil,Nil
"September 01, 2008",RANDY HILLIER,Lanark-Frontenac-Lennox and Addington,Salary - Legislative Assembly of Ontario,Landowner Magazine - 30% interest,"Mortgage - AGF Trust, Toronto",Nil,Nil
"September 01, 2008",REZA MORIDI,Richmond Hill,"Salary - Ontario Legislative Assembly
Pension - Radiation Safety Industry of Canada
Rental Income","Rental Property: 73 Little River Court, 50% ownership
Properties in Iran",Mortgages - Bank of Montreal,Nil,Nil
"September 01, 2008",RICHARD BARTOLUCCI,Sudbury,"Salary - Ontario Legislative Assembly, Ministerial Salary
Pension - Ontario Teachers Pension Board",Nil,Nil,Nil,Nil
"September 01, 2008",ROBERT BAILEY,Sarnia—Lambton,Salary - Legislative Assembly of Ontario,"Shares: Nova Chemicals, Manulife Financial
RRSP - Shares: Transcanada Pipelines Ltd","Mortgages - Bank of Nova Scotia, Petrolia",Nil,"Oil Springs Masonic Temple Building, Director"
"September 01, 2008",ROBERT PATRICK DELANEY,Mississauga-Streetsville,Salary - Legislative Assembly of Ontario,"RRSP - Shares: BCE Inc., CAE Inc., Rona Inc.","Mortgage - TD Canada Trust, Mississauga",Nil,Nil
"September 01, 2008",ROBERT RUNCIMAN,Leeds—Grenville,"Salary - Legislative Assembly of Ontario
Interest on investments",Nil,Nil,Nil,Nil
"September 01, 2008",ROSARIO MARCHESE,Trinity—Spadina,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - CIBC, Toronto",Nil,Nil
"September 01, 2008",SANDRA PUPATELLO,Windsor West,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - Royal Bank of Canada, Toronto
Line of Credit - Royal Bank of Canada",Nil,Nil
"September 01, 2008",SOPHIA AGGELONITIS,Hamilton Mountain,Revenue - KM Skore Inc,"KM Skore Inc - 100% interest
Shares: CIBC
RRSP, LIRA - Shares: AGF Management Ltd, Bank of Montreal, Great-West Lifeco Inc, Invesco Plc, Nova Chemicals Corp, Royal Bank of Canada, Shaw Communications Inc, Power Corp of Canada","Mortgage - T.D. Bank, Hamilton
Guarantee - KM Skore Inc - Royal Bank",Nil,President/Secretary - KM Skore Inc
"September 01, 2008",STEVE PETERS,Elgin—Middlesex—London,Salary - Legislative Assembly of Ontario,"33 Tecumseh St., St. Thomas - 50% interest","Mortgage - Royal Bank of Canada, St. Thomas
Line of Credit - Royal Bank of Canada, St. Thomas",Nil,Nil
"September 01, 2008",SYLVIA JONES,Dufferin—Caledon,Salary - Legislative Assembly of Ontario,Jones Joint Venture - 3.8% interest (real estate holding),"Line of Credit, CIBC",Nil,Nil
"September 01, 2008",TED CHUDLEIGH,Halton,"Salary - Legislative Assembly of Ontario
Income from investments","Shares - Power Financial Corp., Rothmans Inc., Teck Cominco Ltd., Vermilion Energy Trust Units
RRSP - Shares: Aberdeen Asia-Pacific Income Investment Company Ltd",Nil,Nil,Nil
"September 01, 2008",TED MCMEEKIN,Ancaster-Dundas-Flamborough-Westdale,"Salary - Legislative Assembly of Ontario
Rental Income - Tenant","Condominium - 50% interest
89 McCaul St., Toronto","Mortgages - First Line, Hamilton",Nil,Nil
"September 01, 2008",THEODORE C. ARNOTT,Wellington-Halton Hills,Salary - Legislative Assembly of Ontario,Shares - Dell Inc.,Nil,Nil,Nil
"September 01, 2008",TIMOTHY P. HUDAK,Niagara West-Glanbrook,Salary - Legislative Assembly of Ontario,"RRSP - Shares: Addax Petroleum Corp, Agrium Inc, Atco Ltd-CLI Non-VTG, Bank of Nova Scotia,CCL Indsutries Inc., Canadian National Railway o, CGI Group Inc., Celestica Inc Subord VTG, Canadian Tire Corp Ltd, Churchill Corp CL A, Dorel Industries Inc., Husky Energy Inc. Common, Highpine Oil & Gas Ltd, Home Capital Group Inc., Manulife Financial Corp, MacDonald Dettwiler and Associates Ltd, Major Drilling Group, Nexen Inc., National Bank of Canada, Oilexco Inc, Petrobank Energy & Resources Ltd, Potash Corp of Saskatchewan, Power Financial Corp, Royal Bank of Canada, Shoppers Drug Mart, Sino Forest Corporation, Transcanada Corporation, Toronto Dominion Bank, Westjet Airlines Ltd","Mortgage - Bank of Montreal, Fort Erie
Line of Credit - Bank of Montreal",Nil,Nil
"September 01, 2008",TOBY BARRETT,Haldimand—Norfolk,"Salary - Legislative Assembly of Ontario
Rental Income","Farmleigh Farms - 50/50 partnership between Mr. Barrett and his father
280 Brant Avenue, Brantford - 50% interest with spouse","Mortgage - First Line, Toronto",Nil,Canadian Drilling Rig Museum - Director
"September 01, 2008",TONY RUPRECHT,Davenport,"Salary - Legislative Assembly of Ontario
Rental Income
Interest on investments","398A Lake Promenade, Etobicoke
1/3 interest in Mother's Estate
Shares - Bell Aliant, Encana Corp, iShares, Petro-Canada, Teranet
RRSP
Shares: Northwater",Nil,Nil,Nil
"September 01, 2008",VIC DHILLON,Brampton West,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - Scotiabank, Brampton
Line of Credit - Royal Bank of Canada, Brampton",Nil,Nil
"September 01, 2008",WAYNE ARTHURS,Pickering-Scarborough East,Salary - Legislative Assembly of Ontario,"RRSP - Shares: Amerigo Resources Ltd, Bombardier Inc., Bank of Nova Scotia, General Motors Corp.","Mortgages - RBC Financial Group, Toronto",Nil,Nil
"September 01, 2008",YASIR NAQVI,Ottawa Centre,Salary - Legislative Assembly of Ontario,Two properties in Pakistan - 100% interest.,"Mortgage - TD Canada Trust, Ottawa.
Line of Credit - TD Canada Trust, Ottawa.
Student Loan - CIBC, Ottawa.","Mr. Naqvi was a guest speaker at Eafit University in Colombia. His flight, accommodation and per diem expenses were provided by Eafit University.",Nil
